# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
yo 64|Yo! Comment ca se passe?
rebonjour 64|Rebonjour! Content de te revoir.
bonsoir 65|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 65|Bonne nuit! Repose-toi bien.
a bientot 65|A bientot! Reviens quand tu veux.
merci 65|Avec plaisir!
de rien 65|Pas de souci!
ca va 65|Oui ca va bien, merci!
tu es la 65|Oui, je suis la pour toi.
hello 65|Hello! Ravi de discuter avec toi.
yo 65|Yo! Comment ca se passe?
rebonjour 65|Rebonjour! Content de te revoir.
bonsoir 66|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 66|Bonne nuit! Repose-toi bien.
a bientot 66|A bientot! Reviens quand tu veux.
merci 66|Avec plaisir!
de rien 66|Pas de souci!
ca va 66|Oui ca va bien, merci!
tu es la 66|Oui, je suis la pour toi.
hello 66|Hello! Ravi de discuter avec toi.
yo 66|Yo! Comment ca se passe?
rebonjour 66|Rebonjour! Content de te revoir.
bonsoir 67|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 67|Bonne nuit! Repose-toi bien.
a bientot 67|A bientot! Reviens quand tu veux.
merci 67|Avec plaisir!
de rien 67|Pas de souci!
ca va 67|Oui ca va bien, merci!
tu es la 67|Oui, je suis la pour toi.
hello 67|Hello! Ravi de discuter avec toi.
yo 67|Yo! Comment ca se passe?
rebonjour 67|Rebonjour! Content de te revoir.
bonsoir 68|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 68|Bonne nuit! Repose-toi bien.
a bientot 68|A bientot! Reviens quand tu veux.
merci 68|Avec plaisir!
de rien 68|Pas de souci!
ca va 68|Oui ca va bien, merci!
tu es la 68|Oui, je suis la pour toi.
hello 68|Hello! Ravi de discuter avec toi.
yo 68|Yo! Comment ca se passe?
rebonjour 68|Rebonjour! Content de te revoir.
bonsoir 69|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 69|Bonne nuit! Repose-toi bien.
a bientot 69|A bientot! Reviens quand tu veux.
merci 69|Avec plaisir!
de rien 69|Pas de souci!
ca va 69|Oui ca va bien, merci!
tu es la 69|Oui, je suis la pour toi.
hello 69|Hello! Ravi de discuter avec toi.
yo 69|Yo! Comment ca se passe?
rebonjour 69|Rebonjour! Content de te revoir.
bonsoir 70|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 70|Bonne nuit! Repose-toi bien.
a bientot 70|A bientot! Reviens quand tu veux.
merci 70|Avec plaisir!
de rien 70|Pas de souci!
ca va 70|Oui ca va bien, merci!
tu es la 70|Oui, je suis la pour toi.
hello 70|Hello! Ravi de discuter avec toi.
yo 70|Yo! Comment ca se passe?
rebonjour 70|Rebonjour! Content de te revoir.
bonsoir 71|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 71|Bonne nuit! Repose-toi bien.
a bientot 71|A bientot! Reviens quand tu veux.
merci 71|Avec plaisir!
de rien 71|Pas de souci!
ca va 71|Oui ca va bien, merci!
tu es la 71|Oui, je suis la pour toi.
hello 71|Hello! Ravi de discuter avec toi.
yo 71|Yo! Comment ca se passe?
rebonjour 71|Rebonjour! Content de te revoir.
bonsoir 72|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 72|Bonne nuit! Repose-toi bien.
a bientot 72|A bientot! Reviens quand tu veux.
merci 72|Avec plaisir!
de rien 72|Pas de souci!
ca va 72|Oui ca va bien, merci!
tu es la 72|Oui, je suis la pour toi.
hello 72|Hello! Ravi de discuter avec toi.
yo 72|Yo! Comment ca se passe?
rebonjour 72|Rebonjour! Content de te revoir.
bonsoir 73|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 73|Bonne nuit! Repose-toi bien.
a bientot 73|A bientot! Reviens quand tu veux.
merci 73|Avec plaisir!
de rien 73|Pas de souci!
ca va 73|Oui ca va bien, merci!
tu es la 73|Oui, je suis la pour toi.
hello 73|Hello! Ravi de discuter avec toi.
yo 73|Yo! Comment ca se passe?
rebonjour 73|Rebonjour! Content de te revoir.
bonsoir 74|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 74|Bonne nuit! Repose-toi bien.
a bientot 74|A bientot! Reviens quand tu veux.
merci 74|Avec plaisir!
de rien 74|Pas de souci!
ca va 74|Oui ca va bien, merci!
tu es la 74|Oui, je suis la pour toi.
hello 74|Hello! Ravi de discuter avec toi.
yo 74|Yo! Comment ca se passe?
rebonjour 74|Rebonjour! Content de te revoir.
bonsoir 75|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 75|Bonne nuit! Repose-toi bien.
a bientot 75|A bientot! Reviens quand tu veux.
merci 75|Avec plaisir!
de rien 75|Pas de souci!
ca va 75|Oui ca va bien, merci!
tu es la 75|Oui, je suis la pour toi.
hello 75|Hello! Ravi de discuter avec toi.
yo 75|Yo! Comment ca se passe?
rebonjour 75|Rebonjour! Content de te revoir.
bonsoir 76|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 76|Bonne nuit! Repose-toi bien.
a bientot 76|A bientot! Reviens quand tu veux.
merci 76|Avec plaisir!
de rien 76|Pas de souci!
ca va 76|Oui ca va bien, merci!
tu es la 76|Oui, je suis la pour toi.
hello 76|Hello! Ravi de discuter avec toi.
yo 76|Yo! Comment ca se passe?
rebonjour 76|Rebonjour! Content de te revoir.
bonsoir 77|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 77|Bonne nuit! Repose-toi bien.
a bientot 77|A bientot! Reviens quand tu veux.
merci 77|Avec plaisir!
de rien 77|Pas de souci!
ca va 77|Oui ca va bien, merci!
tu es la 77|Oui, je suis la pour toi.
hello 77|Hello! Ravi de discuter avec toi.
yo 77|Yo! Comment ca se passe?
rebonjour 77|Rebonjour! Content de te revoir.
bonsoir 78|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 78|Bonne nuit! Repose-toi bien.
a bientot 78|A bientot! Reviens quand tu veux.
merci 78|Avec plaisir!
de rien 78|Pas de souci!
ca va 78|Oui ca va bien, merci!
tu es la 78|Oui, je suis la pour toi.
hello 78|Hello! Ravi de discuter avec toi.
yo 78|Yo! Comment ca se passe?
rebonjour 78|Rebonjour! Content de te revoir.
bonsoir 79|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 79|Bonne nuit! Repose-toi bien.
a bientot 79|A bientot! Reviens quand tu veux.
merci 79|Avec plaisir!
de rien 79|Pas de souci!
ca va 79|Oui ca va bien, merci!
tu es la 79|Oui, je suis la pour toi.
hello 79|Hello! Ravi de discuter avec toi.
yo 79|Yo! Comment ca se passe?
rebonjour 79|Rebonjour! Content de te revoir.
bonsoir 80|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 80|Bonne nuit! Repose-toi bien.
a bientot 80|A bientot! Reviens quand tu veux.
merci 80|Avec plaisir!
de rien 80|Pas de souci!
ca va 80|Oui ca va bien, merci!
tu es la 80|Oui, je suis la pour toi.
hello 80|Hello! Ravi de discuter avec toi.
yo 80|Yo! Comment ca se passe?
rebonjour 80|Rebonjour! Content de te revoir.

# === QUESTIONS COURANTES ===
comment tu vas 1|Je vais bien merci, et toi?
tu fais quoi 1|Je discute avec toi et je t aide si besoin.
tu peux m aider 1|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 1|Je suis ton assistant de discussion.
tu es qui 1|Je suis une IA qui repond a tes messages.
tu habites ou 1|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 1|Je n ai pas d age comme un humain.
tu es humain 1|Non, je suis une intelligence artificielle.
pourquoi 1|Parce que c est la reponse la plus adaptee ici.
comment 1|Etape par etape, calmement et clairement.
comment tu vas 2|Je vais bien merci, et toi?
tu fais quoi 2|Je discute avec toi et je t aide si besoin.
tu peux m aider 2|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 2|Je suis ton assistant de discussion.
tu es qui 2|Je suis une IA qui repond a tes messages.
tu habites ou 2|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 2|Je n ai pas d age comme un humain.
tu es humain 2|Non, je suis une intelligence artificielle.
pourquoi 2|Parce que c est la reponse la plus adaptee ici.
comment 2|Etape par etape, calmement et clairement.
comment tu vas 3|Je vais bien merci, et toi?
tu fais quoi 3|Je discute avec toi et je t aide si besoin.
tu peux m aider 3|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 3|Je suis ton assistant de discussion.
tu es qui 3|Je suis une IA qui repond a tes messages.
tu habites ou 3|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 3|Je n ai pas d age comme un humain.
tu es humain 3|Non, je suis une intelligence artificielle.
pourquoi 3|Parce que c est la reponse la plus adaptee ici.
comment 3|Etape par etape, calmement et clairement.
comment tu vas 4|Je vais bien merci, et toi?
tu fais quoi 4|Je discute avec toi et je t aide si besoin.
tu peux m aider 4|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 4|Je suis ton assistant de discussion.
tu es qui 4|Je suis une IA qui repond a tes messages.
tu habites ou 4|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 4|Je n ai pas d age comme un humain.
tu es humain 4|Non, je suis une intelligence artificielle.
pourquoi 4|Parce que c est la reponse la plus adaptee ici.
comment 4|Etape par etape, calmement et clairement.
comment tu vas 5|Je vais bien merci, et toi?
tu fais quoi 5|Je discute avec toi et je t aide si besoin.
tu peux m aider 5|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 5|Je suis ton assistant de discussion.
tu es qui 5|Je suis une IA qui repond a tes messages.
tu habites ou 5|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 5|Je n ai pas d age comme un humain.
tu es humain 5|Non, je suis une intelligence artificielle.
pourquoi 5|Parce que c est la reponse la plus adaptee ici.
comment 5|Etape par etape, calmement et clairement.
comment tu vas 6|Je vais bien merci, et toi?
tu fais quoi 6|Je discute avec toi et je t aide si besoin.
tu peux m aider 6|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 6|Je suis ton assistant de discussion.
tu es qui 6|Je suis une IA qui repond a tes messages.
tu habites ou 6|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 6|Je n ai pas d age comme un humain.
tu es humain 6|Non, je suis une intelligence artificielle.
pourquoi 6|Parce que c est la reponse la plus adaptee ici.
comment 6|Etape par etape, calmement et clairement.
comment tu vas 7|Je vais bien merci, et toi?
tu fais quoi 7|Je discute avec toi et je t aide si besoin.
tu peux m aider 7|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 7|Je suis ton assistant de discussion.
tu es qui 7|Je suis une IA qui repond a tes messages.
tu habites ou 7|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 7|Je n ai pas d age comme un humain.
tu es humain 7|Non, je suis une intelligence artificielle.
pourquoi 7|Parce que c est la reponse la plus adaptee ici.
comment 7|Etape par etape, calmement et clairement.
comment tu vas 8|Je vais bien merci, et toi?
tu fais quoi 8|Je discute avec toi et je t aide si besoin.
tu peux m aider 8|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 8|Je suis ton assistant de discussion.
tu es qui 8|Je suis une IA qui repond a tes messages.
tu habites ou 8|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 8|Je n ai pas d age comme un humain.
tu es humain 8|Non, je suis une intelligence artificielle.
pourquoi 8|Parce que c est la reponse la plus adaptee ici.
comment 8|Etape par etape, calmement et clairement.
comment tu vas 9|Je vais bien merci, et toi?
tu fais quoi 9|Je discute avec toi et je t aide si besoin.
tu peux m aider 9|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 9|Je suis ton assistant de discussion.
tu es qui 9|Je suis une IA qui repond a tes messages.
tu habites ou 9|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 9|Je n ai pas d age comme un humain.
tu es humain 9|Non, je suis une intelligence artificielle.
pourquoi 9|Parce que c est la reponse la plus adaptee ici.
comment 9|Etape par etape, calmement et clairement.
comment tu vas 10|Je vais bien merci, et toi?
tu fais quoi 10|Je discute avec toi et je t aide si besoin.
tu peux m aider 10|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 10|Je suis ton assistant de discussion.
tu es qui 10|Je suis une IA qui repond a tes messages.
tu habites ou 10|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 10|Je n ai pas d age comme un humain.
tu es humain 10|Non, je suis une intelligence artificielle.
pourquoi 10|Parce que c est la reponse la plus adaptee ici.
comment 10|Etape par etape, calmement et clairement.
comment tu vas 11|Je vais bien merci, et toi?
tu fais quoi 11|Je discute avec toi et je t aide si besoin.
tu peux m aider 11|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 11|Je suis ton assistant de discussion.
tu es qui 11|Je suis une IA qui repond a tes messages.
tu habites ou 11|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 11|Je n ai pas d age comme un humain.
tu es humain 11|Non, je suis une intelligence artificielle.
pourquoi 11|Parce que c est la reponse la plus adaptee ici.
comment 11|Etape par etape, calmement et clairement.
comment tu vas 12|Je vais bien merci, et toi?
tu fais quoi 12|Je discute avec toi et je t aide si besoin.
tu peux m aider 12|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 12|Je suis ton assistant de discussion.
tu es qui 12|Je suis une IA qui repond a tes messages.
tu habites ou 12|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 12|Je n ai pas d age comme un humain.
tu es humain 12|Non, je suis une intelligence artificielle.
pourquoi 12|Parce que c est la reponse la plus adaptee ici.
comment 12|Etape par etape, calmement et clairement.
comment tu vas 13|Je vais bien merci, et toi?
tu fais quoi 13|Je discute avec toi et je t aide si besoin.
tu peux m aider 13|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 13|Je suis ton assistant de discussion.
tu es qui 13|Je suis une IA qui repond a tes messages.
tu habites ou 13|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 13|Je n ai pas d age comme un humain.
tu es humain 13|Non, je suis une intelligence artificielle.
pourquoi 13|Parce que c est la reponse la plus adaptee ici.
comment 13|Etape par etape, calmement et clairement.
comment tu vas 14|Je vais bien merci, et toi?
tu fais quoi 14|Je discute avec toi et je t aide si besoin.
tu peux m aider 14|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 14|Je suis ton assistant de discussion.
tu es qui 14|Je suis une IA qui repond a tes messages.
tu habites ou 14|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 14|Je n ai pas d age comme un humain.
tu es humain 14|Non, je suis une intelligence artificielle.
pourquoi 14|Parce que c est la reponse la plus adaptee ici.
comment 14|Etape par etape, calmement et clairement.
comment tu vas 15|Je vais bien merci, et toi?
tu fais quoi 15|Je discute avec toi et je t aide si besoin.
tu peux m aider 15|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 15|Je suis ton assistant de discussion.
tu es qui 15|Je suis une IA qui repond a tes messages.
tu habites ou 15|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 15|Je n ai pas d age comme un humain.
tu es humain 15|Non, je suis une intelligence artificielle.
pourquoi 15|Parce que c est la reponse la plus adaptee ici.
comment 15|Etape par etape, calmement et clairement.
comment tu vas 16|Je vais bien merci, et toi?
tu fais quoi 16|Je discute avec toi et je t aide si besoin.
tu peux m aider 16|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 16|Je suis ton assistant de discussion.
tu es qui 16|Je suis une IA qui repond a tes messages.
tu habites ou 16|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 16|Je n ai pas d age comme un humain.
tu es humain 16|Non, je suis une intelligence artificielle.
pourquoi 16|Parce que c est la reponse la plus adaptee ici.
comment 16|Etape par etape, calmement et clairement.
comment tu vas 17|Je vais bien merci, et toi?
tu fais quoi 17|Je discute avec toi et je t aide si besoin.
tu peux m aider 17|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 17|Je suis ton assistant de discussion.
tu es qui 17|Je suis une IA qui repond a tes messages.
tu habites ou 17|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 17|Je n ai pas d age comme un humain.
tu es humain 17|Non, je suis une intelligence artificielle.
pourquoi 17|Parce que c est la reponse la plus adaptee ici.
comment 17|Etape par etape, calmement et clairement.
comment tu vas 18|Je vais bien merci, et toi?
tu fais quoi 18|Je discute avec toi et je t aide si besoin.
tu peux m aider 18|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 18|Je suis ton assistant de discussion.
tu es qui 18|Je suis une IA qui repond a tes messages.
tu habites ou 18|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 18|Je n ai pas d age comme un humain.
tu es humain 18|Non, je suis une intelligence artificielle.
pourquoi 18|Parce que c est la reponse la plus adaptee ici.
comment 18|Etape par etape, calmement et clairement.
comment tu vas 19|Je vais bien merci, et toi?
tu fais quoi 19|Je discute avec toi et je t aide si besoin.
tu peux m aider 19|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 19|Je suis ton assistant de discussion.
tu es qui 19|Je suis une IA qui repond a tes messages.
tu habites ou 19|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 19|Je n ai pas d age comme un humain.
tu es humain 19|Non, je suis une intelligence artificielle.
pourquoi 19|Parce que c est la reponse la plus adaptee ici.
comment 19|Etape par etape, calmement et clairement.
comment tu vas 20|Je vais bien merci, et toi?
tu fais quoi 20|Je discute avec toi et je t aide si besoin.
tu peux m aider 20|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 20|Je suis ton assistant de discussion.
tu es qui 20|Je suis une IA qui repond a tes messages.
tu habites ou 20|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 20|Je n ai pas d age comme un humain.
tu es humain 20|Non, je suis une intelligence artificielle.
pourquoi 20|Parce que c est la reponse la plus adaptee ici.
comment 20|Etape par etape, calmement et clairement.
comment tu vas 21|Je vais bien merci, et toi?
tu fais quoi 21|Je discute avec toi et je t aide si besoin.
tu peux m aider 21|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 21|Je suis ton assistant de discussion.
tu es qui 21|Je suis une IA qui repond a tes messages.
tu habites ou 21|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 21|Je n ai pas d age comme un humain.
tu es humain 21|Non, je suis une intelligence artificielle.
pourquoi 21|Parce que c est la reponse la plus adaptee ici.
comment 21|Etape par etape, calmement et clairement.
comment tu vas 22|Je vais bien merci, et toi?
tu fais quoi 22|Je discute avec toi et je t aide si besoin.
tu peux m aider 22|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 22|Je suis ton assistant de discussion.
tu es qui 22|Je suis une IA qui repond a tes messages.
tu habites ou 22|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 22|Je n ai pas d age comme un humain.
tu es humain 22|Non, je suis une intelligence artificielle.
pourquoi 22|Parce que c est la reponse la plus adaptee ici.
comment 22|Etape par etape, calmement et clairement.
comment tu vas 23|Je vais bien merci, et toi?
tu fais quoi 23|Je discute avec toi et je t aide si besoin.
tu peux m aider 23|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 23|Je suis ton assistant de discussion.
tu es qui 23|Je suis une IA qui repond a tes messages.
tu habites ou 23|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 23|Je n ai pas d age comme un humain.
tu es humain 23|Non, je suis une intelligence artificielle.
pourquoi 23|Parce que c est la reponse la plus adaptee ici.
comment 23|Etape par etape, calmement et clairement.
comment tu vas 24|Je vais bien merci, et toi?
tu fais quoi 24|Je discute avec toi et je t aide si besoin.
tu peux m aider 24|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 24|Je suis ton assistant de discussion.
tu es qui 24|Je suis une IA qui repond a tes messages.
tu habites ou 24|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 24|Je n ai pas d age comme un humain.
tu es humain 24|Non, je suis une intelligence artificielle.
pourquoi 24|Parce que c est la reponse la plus adaptee ici.
comment 24|Etape par etape, calmement et clairement.
comment tu vas 25|Je vais bien merci, et toi?
tu fais quoi 25|Je discute avec toi et je t aide si besoin.
tu peux m aider 25|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 25|Je suis ton assistant de discussion.
